"","x"
"1354",250000
"1355",644600
"1356",177200
"1357",475200
"1358",588000
"1359",305100
"1360",371600
"1361",223000
"1362",223200
"1363",268100
"1364",286300
"1365",501000
"1366",582500
"1367",532200
"1368",227600
"1369",317400
"1370",343200
"1371",295100
"1372",375600
"1373",370700
"1374",552600
"1375",334300
"1376",440200
"1377",289400
"1378",504400
"1379",270400
"1380",430700
"1381",284900
"1382",215100
"1383",220600
"1384",358600
"1385",314900
"1386",236900
"1387",329400
"1388",264800
"1389",622900
"1390",323600
"1391",574800
"1392",407000
"1393",339200
"1394",534800
"1395",306100
"1396",333200
"1397",409800
"1398",269900
"1399",423500
"1400",198200
"1401",258200
"1402",373100
"1403",473800
"1404",265000
"1405",329600
"1406",335300
"1407",343200
"1408",359900
"1409",307000
"1410",425000
"1411",256000
"1412",345000
"1413",307600
"1414",173800
"1415",234300
"1416",430800
"1417",299600
"1418",244300
"1419",373700
"1420",452100
"1421",292900
"1422",342100
"1423",414300
"1424",310100
"1425",384800
"1426",311700
"1427",284900
"1428",419700
"1429",724900
"1430",346400
"1431",175500
"1432",206700
"1433",315100
"1434",218600
"1435",530800
"1436",646900
"1437",148800
"1438",220300
"1439",208200
"1440",316500
"1441",351500
"1442",469900
"1443",855400
"1444",218600
"1445",177000
"1446",304000
"1447",281200
"1448",294500
"1449",270100
"1450",365800
"1451",356700
"1452",433200
"1453",245700
"1454",606500
"1455",395800
"1456",535800
"1457",296600
"1458",326100
"1459",355400
"1460",314900
"1461",263000
"1462",533900
"1463",287000
"1464",549300
"1465",300400
"1466",260100
"1467",441100
"1468",420500
"1469",371700
"1470",833000
"1471",284400
"1472",272600
"1473",442900
"1474",469200
"1475",335300
"1476",365200
"1477",187400
"1478",478000
"1479",127500
"1480",337800
"1481",432900
"1482",275900
"1483",352700
"1484",636900
"1485",339500
"1486",182800
"1487",361800
"1488",182200
"1489",566600
"1490",179600
"1491",254700
"1492",300700
"1493",438600
"1494",283800
"1495",297200
"1496",878100
"1497",301500
"1498",281000
"1499",507600
"1500",380800
"1501",297500
"1502",404000
"1503",1676200
"1504",812200
"1505",242400
"1506",388500
"1507",385100
"1508",235400
"1509",220600
"1510",541000
"1511",327600
"1512",475500
"1513",308900
"1514",440200
"1515",557600
"1516",272200
"1517",307200
"1518",163000
"1519",209500
"1520",272000
"1521",395700
"1522",247000
"1523",243700
"1524",162200
"1525",292700
"1526",434900
"1527",376800
"1528",263300
"1529",408300
"1530",243100
"1531",248900
"1532",174900
"1533",276200
"1534",190300
"1535",317400
"1536",554500
"1537",257400
"1538",305500
"1539",223000
"1540",383100
"1541",401000
"1542",351200
"1543",169000
"1544",502600
"1545",316200
"1546",306300
"1547",220500
"1548",283200
"1549",414300
"1550",313300
"1551",422000
"1552",354700
"1553",388200
"1554",679700
"1555",476900
"1556",642000
"1557",367200
"1558",538400
"1559",358200
"1560",327600
"1561",319500
"1562",417900
"1563",253400
"1564",292500
"1565",466800
"1566",889500
"1567",268100
"1568",182100
"1569",467800
"1570",335800
"1571",356700
"1572",317900
"1573",241100
"1574",306000
"1575",538800
